(1,2)
(2,2)
(3,3)
(4,5)
(5,4)
(6,6)
(7,12)
(8,10)
(9,14)
(10,26)
(11,26)
(12,34)
(13,68)
(14,48)
(15,72)
(16,120)
(17,120)
(18,168)
(19,336)
(20,264)
(21,396)
(22,792)
(23,624)
(24,816)
(25,1632)
(26,1632)
(27,2208)
(28,3616)
(29,3616)
(30,5056)
(31,10112)
(32,6592)
(33,9888)
(34,19776)
(35,19776)
(36,24384)
(37,48768)
(38,48768)
(39,73152)
(40,112320)
(41,76032)
(42,114048)
(43,228096)
(44,190080)
(45,264960)
(46,529920)
(47,529920)
(48,691200)
(49,1382400)
(50,1022976)
(51,1534464)
(52,2557440)
(53,2557440)
(54,3456000)
(55,6912000)
(56,5652480)
(57,8478720)
(58,16957440)
(59,13565952)
(60,16883712)
(61,33767424)
(62,33767424)
(63,47222784)
(64,76898304)
(65,76898304)
(66,115347456)
(67,230694912)
(68,133079040)
(69,199618560)
(70,370483200)
(71,370483200)
(72,456744960)
(73,913489920)
(74,913489920)
(75,1370234880)
(76,2283724800)
(77,1826979840)
(78,2740469760)
(79,5480939520)
(80,4206919680)
(81,5630238720)
(82,11260477440)
(83,11260477440)
(84,14498611200)
(85,28997222400)
(86,23197777920)
(87,34796666880)
(88,57920126976)
(89,57920126976)
(90,75517526016)
(91,151035052032)
(92,125862543360)
(93,188793815040)
(94,377587630080)
(95,265208463360)
(96,340057128960)
(97,680114257920)
(98,680114257920)
(99,952117493760)
(100,1482251304960)
(101,1482251304960)
(102,2223376957440)
(103,4446753914880)
(104,2963823132672)
(105,4445734699008)
(106,8891469398016)
(107,8891469398016)
(108,10657260896256)
(109,21314521792512)
(110,19791728345088)
(111,29687592517632)
(112,48204196872192)
(113,37916359262208)
(114,56874538893312)
(115,113749077786624)
(116,94790898155520)
(117,132706365603840)
(118,265412731207680)
(119,265412731207680)
(120,324539991982080)
(121,649079983964160)
(122,424788791132160)
(123,637183186698240)
(124,1061971977830400)
(125,1061971977830400)
(126,1485137667686400)
(127,2970275335372800)
(128,2418420901478400)
(129,3627631352217600)
(130,6737029654118400)
(131,5389623723294720)
(132,7047969484308480)
(133,14095938968616960)
(134,14095938968616960)
(135,18974782657658880)
(136,31624637762764800)
(137,31624637762764800)
(138,47436956644147200)
(139,94873913288294400)
(140,58600183478353920)
(141,87900275217530880)
(142,175800550435061760)
(143,175800550435061760)
(144,216182780193669120)
(145,432365560387338240)
(146,432365560387338240)
(147,648548340581007360)
(148,1080913900968345600)
(149,762998047742361600)
(150,1063074361717555200)
(151,2126148723435110400)
(152,1771790602862592000)
(153,2480506844007628800)
(154,4961013688015257600)
(155,4961013688015257600)
(156,6487479438173798400)
(157,12974958876347596800)
(158,10188081856512000000)
(159,15282122784768000000)
(160,23047187687748403200)
(161,23047187687748403200)
(162,30784308137636659200)
(163,61568616275273318400)
(164,51307180229394432000)
(165,76960770344091648000)
(166,153921540688183296000)
(167,123137232550546636800)
(168,158319298993559961600)
(169,316638597987119923200)
(170,294021555273754214400)
(171,411630177383255900160)
(172,686050295638759833600)
(173,686050295638759833600)
(174,1029075443458139750400)
(175,2058150886916279500800)
(176,1208946080003339059200)
(177,1813419120005008588800)
(178,3626838240010017177600)
(179,3626838240010017177600)
(180,4264390937307355545600)
(181,8528781874614711091200)
(182,8528781874614711091200)
(183,12793172811922066636800)
(184,21321954686536777728000)
(185,17057563749229422182400)
(186,25586345623844133273600)
(187,51172691247688266547200)
(188,42643909373073555456000)
(189,57596747872934559744000)
(190,106965388906878468096000)
(191,106965388906878468096000)
(192,136583908471798235136000)
(193,273167816943596470272000)
(194,218534253554877176217600)
(195,327801380332315764326400)
(196,536619592706793091891200)
(197,536619592706793091891200)
(198,751220187789456624844800)
(199,1502440375578913249689600)
(200,1141369102446680132812800)
